,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_yield_kilograms_per_hectare,plot_main_crop,plot_revenue_dollars,plot_gross_margin_dollars
114,hart,HART_S5_P0000_R1,2023,1,204.5,222.5193,TBD,TBD,1376.25,949.2307000000001
115,hart,HART_S5_P0000_R1,2024,2,193.5,238.44439999999997,TBD,TBD,0.0,-431.9444
116,hart,HART_S10.2_P3123_R3,2023,1,202.0,213.25835,TBD,TBD,1224.38,809.12165
117,hart,HART_S10.2_P3123_R3,2024,2,191.0,226.42584117,TBD,TBD,229.27,-188.15584117
118,hart,HART_S3_P3412_R3,2023,1,204.5,222.5193,TBD,TBD,1017.0,589.9807000000001
119,hart,HART_S3_P3412_R3,2024,2,202.0,155.85440000000003,TBD,TBD,561.4399999999999,203.5855999999999
120,hart,HART_S2.2_P0000_R2,2023,1,202.0,264.25834999999995,TBD,TBD,921.92,455.66165
121,hart,HART_S2.2_P0000_R2,2024,2,202.0,182.41727117500002,TBD,TBD,489.23,104.812728825
122,hart,HART_S1.2_P1231_R2,2023,1,204.5,222.5193,TBD,TBD,1206.0,778.9807000000001
123,hart,HART_S1.2_P1231_R2,2024,2,202.0,202.61067411000002,TBD,TBD,701.76,297.14932589
124,hart,HART_S6_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,1012.5,585.4807000000001
125,hart,HART_S6_P1234_R2,2024,2,210.5,235.51600000000002,TBD,TBD,4.4,-441.616
126,hart,HART_S4.1_P2341_R2,2023,1,202.0,225.25835,TBD,TBD,859.84,432.58165
127,hart,HART_S4.1_P2341_R2,2024,2,210.5,254.733718125,TBD,TBD,60.72,-404.51371812499997
128,hart,HART_S9_P1234_R1,2023,1,204.5,235.9362,TBD,TBD,0.0,-440.4362
129,hart,HART_S9_P1234_R1,2024,2,210.5,235.51599999999996,TBD,TBD,686.4,240.38400000000001
130,hart,HART_S9_P4123_R2,2023,1,202.0,235.75834999999998,TBD,TBD,1099.6799999999998,661.9216499999999
131,hart,HART_S9_P4123_R2,2024,2,182.5,139.03,TBD,TBD,0.0,-321.53
132,hart,HART_S10.1_P1231_R1,2023,1,204.5,227.7693,TBD,TBD,947.1,514.8307
133,hart,HART_S10.1_P1231_R1,2024,2,202.0,228.395073865,TBD,TBD,371.2,-59.19507386500001
134,hart,HART_S8_P1234_R3,2023,1,204.5,222.5193,TBD,TBD,1055.25,628.2307000000001
135,hart,HART_S8_P1234_R3,2024,2,202.0,214.29387340500003,TBD,TBD,602.88,186.58612659499997
136,hart,HART_S8_P1234_R2,2023,1,204.5,222.5193,TBD,TBD,1074.75,647.7307000000001
137,hart,HART_S8_P1234_R2,2024,2,202.0,214.29387340500003,TBD,TBD,677.12,260.826126595
138,hart,HART_S4.3_P2341_R3,2023,1,202.0,259.75834999999995,TBD,TBD,1072.64,610.8816500000001
139,hart,HART_S4.3_P2341_R3,2024,2,210.5,274.071721,TBD,TBD,54.56,-430.011721
140,hart,HART_S10.3_P1231_R2,2023,1,204.5,227.7693,TBD,TBD,1003.74,571.4707000000001
141,hart,HART_S10.3_P1231_R2,2024,2,202.0,232.17947586,TBD,TBD,282.56,-151.61947586
142,hart,HART_S10.3_P2312_R2,2023,1,202.0,246.75835,TBD,TBD,959.68,510.92164999999994
143,hart,HART_S10.3_P2312_R2,2024,2,202.0,194.978155215,TBD,TBD,461.1,64.12184478500004
144,hart,HART_S8_P3412_R3,2023,1,202.0,235.75835,TBD,TBD,1154.78,717.0216499999999
145,hart,HART_S8_P3412_R3,2024,2,202.0,256.61117314999996,TBD,TBD,431.36,-27.251173149999943
146,hart,HART_S4.1_P4123_R1,2023,1,202.0,209.25835,TBD,TBD,1035.88,624.62165
147,hart,HART_S4.1_P4123_R1,2024,2,193.5,242.32439999999997,TBD,TBD,529.5,93.67560000000003
148,hart,HART_S4.2_P3412_R3,2023,1,213.0,236.50179999999997,TBD,TBD,270.16,-179.34179999999995
149,hart,HART_S4.2_P3412_R3,2024,2,202.0,179.28229034,TBD,TBD,50.46,-330.82229034
150,hart,HART_S4.1_P3412_R1,2023,1,213.0,215.0018,TBD,TBD,923.12,495.1182
151,hart,HART_S4.1_P3412_R1,2024,2,202.0,204.75806106500002,TBD,TBD,4.06,-402.69806106500005
152,hart,HART_S1.1_P3123_R2,2023,1,202.0,235.75834999999998,TBD,TBD,1062.56,624.80165
153,hart,HART_S1.1_P3123_R2,2024,2,193.5,242.32440000000003,TBD,TBD,0.0,-435.8244
154,hart,HART_S8_P1234_R1,2023,1,204.5,222.5193,TBD,TBD,955.5,528.4807000000001
155,hart,HART_S8_P1234_R1,2024,2,202.0,214.29387340500003,TBD,TBD,597.76,181.46612659499996
156,hart,HART_S4.1_P4123_R2,2023,1,202.0,209.25834999999998,TBD,TBD,930.61,519.3516500000001
157,hart,HART_S4.1_P4123_R2,2024,2,193.5,242.32440000000003,TBD,TBD,766.5,330.6756
158,hart,HART_S7_P3412_R1,2023,1,202.0,246.75835,TBD,TBD,1211.84,763.0816499999999
159,hart,HART_S7_P3412_R1,2024,2,202.0,214.90329390000002,TBD,TBD,70.75999999999999,-346.1432939
160,hart,HART_S2.3_P0000_R3,2023,1,202.0,285.75834999999995,TBD,TBD,1185.92,698.1616500000001
161,hart,HART_S2.3_P0000_R3,2024,2,202.0,182.76499213000002,TBD,TBD,350.523,-34.24199213
162,hart,HART_S1.2_P1231_R3,2023,1,204.5,222.5193,TBD,TBD,1248.75,821.7307000000001
163,hart,HART_S1.2_P1231_R3,2024,2,202.0,202.61067411000002,TBD,TBD,493.76,89.14932588999997
164,hart,HART_S10.3_P3123_R2,2023,1,202.0,235.75835,TBD,TBD,945.4,507.64164999999997
165,hart,HART_S10.3_P3123_R2,2024,2,191.0,247.12695128,TBD,TBD,464.33,26.203048719999998
166,hart,HART_S8_P4123_R1,2023,1,202.0,246.75835,TBD,TBD,1082.56,633.8016499999999
167,hart,HART_S8_P4123_R1,2024,2,193.5,242.32440000000003,TBD,TBD,506.25,70.42559999999997
168,hart,HART_S4.1_P2341_R3,2023,1,202.0,225.25835,TBD,TBD,1051.52,624.2616499999999
169,hart,HART_S4.1_P2341_R3,2024,2,210.5,254.733718125,TBD,TBD,98.56,-366.673718125
170,hart,HART_S6_P2341_R2,2023,1,213.0,236.50179999999997,TBD,TBD,557.92,108.41819999999998
171,hart,HART_S6_P2341_R2,2024,2,202.0,189.60315159,TBD,TBD,162.88,-228.72315159000001
172,hart,HART_S2.1_P0000_R1,2023,1,202.0,238.25835,TBD,TBD,1296.64,856.38165
